Sample_ID,Region,Depth,Month,Year,Site_ID,Lat,Long,Sorting_Method,WGA_Approach,Status,Primary_Tax_Method,Target_Region,Taxonomy,Plot_Taxa,Cluster_ID,O2_Content,Oxy_Type,OMZ_Phenotype,Topography,Completeness,Contamination,Strain_heterogeneity,Assembly_Length,Assembly_Length_MBP,Number_of_contigs,N50_Contigs,Mean_contig_length_(bp),Longest_contig_(bp),GC,Temperature_(ºC),Salinity_(psu),[O2]_(uM),[NO3-]_(uM),[NO2-]_(uM),[NH3]_(uM)
AD-305_A02,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,22.81,0,0,485846,0.485846,18,56941,26991,87203,35.35,5.6,10.7,0,1.64,0.43,NaN
AD-305_A03,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;SCGC AAA164-E04;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_A06,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,17.01,0,0,452096,0.452096,33,21936,13699,43738,34.37,5.6,10.7,0,1.64,0.43,NaN
AD-305_A08,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Marinimicrobia_SAR406_clade;uncultured marine bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_A11,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_A14,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_A17,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;uncultured archaeon,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_A20,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,72.42,0,0,1891423,1.891423,90,33755,21015,92357,33.65,5.6,10.7,0,1.64,0.43,NaN
AD-305_A21,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_B04,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peregrinibacteria;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
